Име,Област (етнографска/фолклорна),Регион,Размер,С удължен дял,Темпо,Тактове,Трудност,Къде го научих,Музика,Заснето,Урок,Хореограф
Ганкино (на Иван трите части),,,,,,,Средно ниво,Зала Младост,,,,
Митково ширто/Тежко македонско/Кой уши байряка,,,,,,,Средно ниво,Пролеша,,https://www.youtube.com/watch?v=ilHDHPRCVTM&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,https://www.youtube.com/watch?v=QSUdLfuu0Ew&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,
Пирава Дая/Дае ,,,,,,,Средно ниво,?,,,,
Зетьово,,,,,,,Средно ниво,?,,,,
Пазарджишка копаница,,,,,,,Средно ниво,Зала Младост,,,,
Патрунино/Патруно моме,,,,,,,Средно ниво,Света Неделя,,,,
Опас,,,,,,,Средно ниво,Народния,,,,
Стефчово,,,,,,,Средно ниво,Народния,,,,
Петрунино,,,,,,,Средно ниво,Зала Младост,,,,
Санданска ръченица,,,,,,,Средно ниво,Света Неделя,,,,
Щеркольовата/Щеркольовото,,,,,,,Средно ниво,Зала Младост,,,,
Берендерско,,,,,,,Средно ниво,Света Неделя,,,,
Макамлийско,,,,,,,Средно ниво,Света Неделя,,,,
Тро̀панка,Добруджанска,,2/4,,,,Средно ниво,Цоко,,https://www.youtube.com/watch?v=mtQYcFp_BS0&t=18s&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,,
Кюстендилска Ръченица (лесния вариант),,,,,,,Средно ниво,Зала Младост,,,,
Мария Сагапо,,,,,,,Средно ниво,Читалището,,,,
Байраче/Беранче,,,,,,,Средно ниво,Читалището,,,,
Главинишка копаница,,,,,,,Средно ниво,Читалището,,,,
Цамико,,,,,,,Средно ниво,Зала Младост,,,,
Копче,,,,,,,Средно ниво,Света Неделя,,,,
Кукунешко,,,2/4,,,,Средно ниво,Зала Младост,,https://www.youtube.com/watch?v=Eec3-KM379I&ab_channel=SimonaStafanova,,
Костенско,Северняшка,,5/8,втори,умерено,20,Средно ниво,Света Неделя,,https://www.youtube.com/watch?v=1V-VOyE0sCA&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,https://www.youtube.com/watch?v=JJfNlGolYaQ&ab_channel=%D0%90%D0%BD%D0%BD%D0%B0%D0%9A%D0%BE%D1%88%D0%BE%D0%B2%D1%81%D0%BA%D0%B0-%D0%A1%D0%B8%D0%B4%D0%BE%D1%80%D0%BA%D0%B8%D0%BD%D0%B0,
Гердемско,,,2/4,,,,Средно ниво,Цоко,,https://www.youtube.com/watch?v=twloF9tKUp0&ab_channel=%D0%B4%D0%B0%D0%BC%D1%8F%D0%BD%D0%B4%D0%B0%D0%BC%D1%8F%D0%BD%D0%BE%D0%B2,,
Тъканата,Северняшка,,2/4,,,,Средно ниво,Цоко,,,,
Деньово,Северняшка,,7/8,първи,,,Средно ниво,Читалището,https://www.youtube.com/watch?v=ZhUR03hxYkc&ab_channel=%D0%91%D0%90%D0%9B%D0%9A%D0%90%D0%9D%D0%A4%D0%9E%D0%9B%D0%9A,https://www.youtube.com/watch?v=606TACkg9Qs&ab_channel=%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8%D1%8F%D0%BD%D0%9A%D0%BE%D0%BB%D0%B5%D0%B2,,
Изручанка,Северняшка,,,,,,Средно ниво,Читалището,,https://www.youtube.com/watch?v=RaQE-l0M8dQ&ab_channel=%D0%93%D0%B0%D0%BB%D1%8F%D0%9F%D0%B5%D1%82%D0%BA%D0%BE%D0%B2%D0%B0,https://www.youtube.com/watch?v=InD2aKMM78M&ab_channel=StaniLazarov,
